feature,importance
Landroid/widget/VideoView;->stopPlayback()V,0.001255768732850717
Landroid/telephony/TelephonyManager;->getAllCellInfo()Ljava/util/List;,0.0012474929844125888
Landroid/content/ContentProvider;-><init>()V,0.0012435664700155972
Landroid/widget/FrameLayout;->setForeground(Landroid/graphics/drawable/Drawable;)V,0.0012305676263177196
Landroid/net/wifi/WifiManager;->setWifiEnabled(Z)Z,0.0012131716040230155
Landroid/webkit/WebView;->setWebContentsDebuggingEnabled(Z)V,0.0012116401370262813
Landroid/widget/VideoView;->setMediaController(Landroid/widget/MediaController;)V,0.0011919702010588116
Landroid/webkit/WebView;->setWebViewClient(Landroid/webkit/WebViewClient;)V,0.001188554928309718
Landroid/view/WindowManager$LayoutParams;->setTitle(Ljava/lang/CharSequence;)V,0.0011882003254956254
Landroid/widget/VideoView;->start()V,0.0011790337897023633
Landroid/widget/VideoView;->pause()V,0.0011716596166020132
Landroid/animation/AnimatorSet;->end()V,0.0011694099007978217
Landroid/view/View;->getWindowId()Landroid/view/WindowId;,0.0011687414832162967
Landroid/preference/PreferenceManager;->getDefaultSharedPreferences(Landroid/content/Context;)Landroid/content/SharedPreferences;,0.0011667100349700148
Landroid/opengl/GLSurfaceView;-><init>(Landroid/content/Context;)V,0.0011638721902032297
Landroid/os/ParcelFileDescriptor;->close()V,0.001162706517206403
Landroid/graphics/drawable/ColorDrawable;-><init>()V,0.001161047882500708
Landroid/webkit/WebView;->destroy()V,0.0011543433511986246
Landroid/app/Activity;->getRequestedOrientation()I,0.001145794004434685
Landroid/view/accessibility/CaptioningManager;->getFontScale()F,0.0011399989721116767
Landroid/media/MediaPlayer;->pause()V,0.0011395742033242623
Landroid/view/Display;->getSize(Landroid/graphics/Point;)V,0.001128838089755383
Landroid/webkit/WebView;->dispatchKeyEvent(Landroid/view/KeyEvent;)Z,0.0011276815873898626
Landroid/net/ConnectivityManager;->getNetworkInfo(I)Landroid/net/NetworkInfo;,0.0011033705855934696
Landroid/os/PowerManager$WakeLock;->acquire()V,0.0010922725070500912
Landroid/content/Context;->getString(I)Ljava/lang/String;,0.0010886338925370194
Landroid/media/MediaPlayer;->setDataSource(Ljava/lang/String;)V,0.0010847717619889786
Landroid/app/Activity;->onCreateOptionsMenu(Landroid/view/Menu;)Z,0.001062379511209364
Landroid/graphics/drawable/Drawable;->createFromPath(Ljava/lang/String;)Landroid/graphics/drawable/Drawable;,0.0010623709316440791
Landroid/content/res/TypedArray;->getDrawable(I)Landroid/graphics/drawable/Drawable;,0.0010581768200503057
Landroid/widget/GridView;-><init>(Landroid/content/Context;)V,0.0010496381068378837
Landroid/os/Parcel;->writeMap(Ljava/util/Map;)V,0.001045831988629594
Landroid/widget/PopupWindow;->update()V,0.0010439220144937832
Landroid/view/inputmethod/InputConnectionWrapper;->sendKeyEvent(Landroid/view/KeyEvent;)Z,0.001043579794722628
Landroid/view/inputmethod/InputMethodManager;->isActive()Z,0.0010390924745236492
Landroid/webkit/WebView;->setVerticalScrollbarOverlay(Z)V,0.001036793554917672
Landroid/app/Dialog;->onBackPressed()V,0.0010359484540307
Landroid/webkit/WebView;->getProgress()I,0.001035711894502281
Landroid/view/Window;->setSoftInputMode(I)V,0.0010347802801817599
Landroid/widget/ImageView;-><init>(Landroid/content/Context;)V,0.0010286956565600986
Landroid/view/ViewGroup;->removeViewAt(I)V,0.0010286908651070679
Landroid/telephony/TelephonyManager;->getNetworkOperator()Ljava/lang/String;,0.001028070537695375
Landroid/view/Display;->getRealMetrics(Landroid/util/DisplayMetrics;)V,0.0010241673442272408
Landroid/view/accessibility/AccessibilityManager;->isEnabled()Z,0.001017553141997061
Landroid/media/MediaPlayer;->stop()V,0.0010056397436251736
Landroid/widget/EditText;-><init>(Landroid/content/Context;)V,0.0010044484241982345
Landroid/app/Activity;->onBackPressed()V,0.00098849999961862
Landroid/app/NotificationManager;->cancel(I)V,0.0009721080660738644
Landroid/content/res/AssetFileDescriptor;->close()V,0.0009652898472964959
Landroid/app/ProgressDialog;-><init>(Landroid/content/Context;)V,0.0009597549118700965
Landroid/support/v4/content/ContextCompat;->getExternalCacheDirs(Landroid/content/Context;)[Ljava/io/File;,0.0009585416248299218
Landroid/webkit/WebView;->getSettings()Landroid/webkit/WebSettings;,0.0009579608254900271
Landroid/app/Activity;->getSystemService(Ljava/lang/String;)Ljava/lang/Object;,0.0009578734079667695
Landroid/service/wallpaper/WallpaperService;-><init>()V,0.0009573100714130703
Landroid/database/sqlite/SQLiteOpenHelper;->getWritableDatabase()Landroid/database/sqlite/SQLiteDatabase;,0.0009428790844376183
Landroid/widget/VideoView;-><init>(Landroid/content/Context;)V,0.0009365008515527255
Landroid/database/sqlite/SQLiteOpenHelper;->getReadableDatabase()Landroid/database/sqlite/SQLiteDatabase;,0.0009342577412269995
Landroid/view/Display;->getOrientation()I,0.0009339996867498929
Landroid/content/res/Resources;->openRawResource(I)Ljava/io/InputStream;,0.0009339062517474035
Landroid/telephony/TelephonyManager;->isNetworkRoaming()Z,0.0009294257760498768
Landroid/widget/ProgressBar;->setVisibility(I)V,0.000922978329906014
