feature,mi_score
Landroid/os/Environment;->getStorageState(Ljava/io/File;)Ljava/lang/String;,0.05646372915956199
Landroid/view/View;->setClipToOutline(Z)V,0.05615702085168106
Landroid/widget/SearchView;-><init>(Landroid/content/Context;)V,0.05575559228647431
Landroid/media/AudioManager;->unregisterRemoteControlClient(Landroid/media/RemoteControlClient;)V,0.05530833150168779
Landroid/support/v4/view/ViewPropertyAnimatorCompat;->start()V,0.05522579423152463
Landroid/app/AlarmManager;->cancel(Landroid/app/PendingIntent;)V,0.05511766251822103
Landroid/support/v4/widget/DrawerLayout;->openDrawer(I)V,0.05491261842157513
Landroid/widget/HorizontalScrollView;-><init>(Landroid/content/Context;)V,0.05455520572392558
Landroid/app/ActivityManager;->getRunningAppProcesses()Ljava/util/List;,0.05452185034937829
Landroid/webkit/WebView;->destroy()V,0.05389103885559576
Landroid/widget/ImageView;->setImageMatrix(Landroid/graphics/Matrix;)V,0.05369046209020323
Landroid/media/AudioManager;->registerMediaButtonEventReceiver(Landroid/content/ComponentName;)V,0.053593730883320756
Landroid/graphics/drawable/Drawable;->invalidateSelf()V,0.0535631365754925
Landroid/support/v4/media/session/MediaControllerCompatApi21$TransportControls;->skipToPrevious(Ljava/lang/Object;)V,0.05341041789576462
Landroid/media/MediaPlayer;->reset()V,0.05252538569817422
Landroid/support/v4/view/ViewCompat;->postInvalidateOnAnimation(Landroid/view/View;)V,0.05245558631626457
Landroid/support/v4/app/FragmentActivity;->onBackPressed()V,0.05195026237252587
Landroid/widget/VideoView;-><init>(Landroid/content/Context;)V,0.05188436135316277
Landroid/media/session/MediaSession$Callback;->onMediaButtonEvent(Landroid/content/Intent;)Z,0.05168560560086699
Landroid/app/Fragment;->onStart()V,0.050582106501855684
Landroid/support/v7/widget/RecyclerView;->onTouchEvent(Landroid/view/MotionEvent;)Z,0.05008223554640434
Landroid/content/Intent;->getByteArrayExtra(Ljava/lang/String;)[B,0.04982269020903085
Landroid/support/v4/app/DialogFragment;->onDestroyView()V,0.0487905904548922
