feature,importance
Landroid/telephony/TelephonyManager;->getDeviceId()Ljava/lang/String;,0.007378129139191657
Landroid/webkit/WebView;->setDownloadListener(Landroid/webkit/DownloadListener;)V,0.007362963388539781
Landroid/webkit/WebView;->onTouchEvent(Landroid/view/MotionEvent;)Z,0.007212295536154759
Landroid/database/CursorWindow;-><init>(Z)V,0.006908530218901146
Landroid/app/AlertDialog;->setMessage(Ljava/lang/CharSequence;)V,0.006867124249890191
Landroid/os/ParcelFileDescriptor;->close()V,0.006801641207943879
Landroid/os/AsyncTask;->execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,0.0064928905090080044
Landroid/app/Activity;->setContentView(I)V,0.006467699466176724
Landroid/webkit/WebView;->removeJavascriptInterface(Ljava/lang/String;)V,0.006176221037375854
Landroid/webkit/WebView;->onPause()V,0.006128777415259362
Landroid/app/Activity;-><init>()V,0.005854935577717193
Landroid/view/ViewGroup;->removeAllViews()V,0.005806288871890754
Landroid/app/AlertDialog$Builder;->setTitle(I)Landroid/app/AlertDialog$Builder;,0.005741963250534665
Landroid/telephony/TelephonyManager;->getNeighboringCellInfo()Ljava/util/List;,0.005555838147684072
Landroid/widget/FrameLayout;-><init>(Landroid/content/Context;)V,0.005410687726278167
Landroid/view/View;->offsetTopAndBottom(I)V,0.005359806262165628
Landroid/os/Parcel;->writeList(Ljava/util/List;)V,0.005256230104610207
Landroid/app/AlertDialog;->setTitle(Ljava/lang/CharSequence;)V,0.00511625363820728
Landroid/content/res/Resources;->getInteger(I)I,0.00464448353022886
Landroid/app/ActivityManager;->getRunningServices(I)Ljava/util/List;,0.004516103476023178
Landroid/widget/CompoundButton;->setChecked(Z)V,0.004366052577721815
Landroid/graphics/drawable/Drawable$ConstantState;->newDrawable(Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;,0.003970177661883785
Landroid/view/ViewGroup;->addView(Landroid/view/View;)V,0.0038088507942726276
Landroid/widget/BaseAdapter;->notifyDataSetChanged()V,0.0037775325377210857
Landroid/telephony/TelephonyManager;->getSimOperator()Ljava/lang/String;,0.003707503620728005
Landroid/view/View;->invalidate()V,0.003660235222650065
Landroid/view/View;->jumpDrawablesToCurrentState()V,0.003606819363744199
Landroid/graphics/drawable/PaintDrawable;-><init>(I)V,0.003545581331308205
Landroid/net/wifi/WifiManager;->getConnectionInfo()Landroid/net/wifi/WifiInfo;,0.0034138751238678095
Landroid/graphics/drawable/BitmapDrawable;-><init>(Landroid/graphics/Bitmap;)V,0.003411599027757059
Landroid/content/Context;->obtainStyledAttributes([I)Landroid/content/res/TypedArray;,0.003410368509049243
Landroid/net/wifi/WifiManager;->getWifiState()I,0.0033667629601744744
Landroid/net/wifi/WifiManager;->startScan()Z,0.0033488858908572445
Landroid/net/ConnectivityManager;->getAllNetworkInfo()[Landroid/net/NetworkInfo;,0.0032351276017173903
Landroid/content/res/Resources;->getDrawable(I)Landroid/graphics/drawable/Drawable;,0.0032318002033604656
Landroid/app/IntentService;-><init>(Ljava/lang/String;)V,0.003210702687960969
Landroid/content/res/Resources;->getString(I)Ljava/lang/String;,0.0031081443423346764
Landroid/widget/ImageView;->setImageTintList(Landroid/content/res/ColorStateList;)V,0.0030888946824458564
Landroid/widget/FrameLayout;->setForeground(Landroid/graphics/drawable/Drawable;)V,0.0030814308856305776
Landroid/webkit/WebView;->setVerticalScrollbarOverlay(Z)V,0.0030254684519182714
Landroid/widget/ImageView;->setImageResource(I)V,0.00296169978025198
Landroid/widget/TextView;->setIncludeFontPadding(Z)V,0.002949946575303381
Landroid/telephony/TelephonyManager;->getLine1Number()Ljava/lang/String;,0.002927383223379231
Landroid/widget/ImageView;->setImageDrawable(Landroid/graphics/drawable/Drawable;)V,0.0028696723063778044
Landroid/telephony/TelephonyManager;->getNetworkOperatorName()Ljava/lang/String;,0.0028633267562089165
Landroid/widget/TextView;->setTypeface(Landroid/graphics/Typeface;)V,0.0028469736414908414
Landroid/telephony/TelephonyManager;->getSimState()I,0.0027095573401732308
Landroid/webkit/WebView;->setWebViewClient(Landroid/webkit/WebViewClient;)V,0.002668304686622122
Landroid/content/res/Resources;->getText(I)Ljava/lang/CharSequence;,0.0026630565544041008
Landroid/content/Intent;->resolveActivity(Landroid/content/pm/PackageManager;)Landroid/content/ComponentName;,0.0025867820602608117
Landroid/telephony/TelephonyManager;->getNetworkType()I,0.002576674312483829
Landroid/app/ActivityManager;->getMyMemoryState(Landroid/app/ActivityManager$RunningAppProcessInfo;)V,0.0025589181851752457
Landroid/view/View;->dispatchTouchEvent(Landroid/view/MotionEvent;)Z,0.00253550208089138
Landroid/app/ActivityManager;->getRunningTasks(I)Ljava/util/List;,0.002535340577462894
Landroid/app/Activity;->setContentView(Landroid/view/View;)V,0.0025244702567784947
Landroid/content/ContextWrapper;->getExternalCacheDir()Ljava/io/File;,0.002473152547484547
Landroid/media/AudioManager;->playSoundEffect(I)V,0.002466657850192451
Landroid/view/animation/Animation;->cancel()V,0.0023760369978901557
Landroid/widget/Toast;->setText(Ljava/lang/CharSequence;)V,0.002345204663336153
Landroid/content/BroadcastReceiver$PendingResult;->finish()V,0.0023335464191821752
Landroid/view/inputmethod/InputMethodManager;->isActive()Z,0.002333421218393782
Landroid/database/sqlite/SQLiteDatabase;->setVersion(I)V,0.0022582925824972903
Landroid/app/DownloadManager;->enqueue(Landroid/app/DownloadManager$Request;)J,0.0022578088449568333
Landroid/view/KeyEvent;->getKeyData(Landroid/view/KeyCharacterMap$KeyData;)Z,0.0022421492511043462
Landroid/view/ViewGroup;->removeViewAt(I)V,0.002217226312991075
Landroid/os/Bundle;->getStringArrayList(Ljava/lang/String;)Ljava/util/ArrayList;,0.0022029944980469797
Landroid/graphics/drawable/Drawable;->getMinimumWidth()I,0.0021411686200114694
Landroid/view/ViewGroup;->removeView(Landroid/view/View;)V,0.0021161788593311707
Landroid/media/AudioManager;->getRingerMode()I,0.0019809697030525064
Landroid/os/Messenger;-><init>(Landroid/os/Handler;)V,0.0019744181522349104
Landroid/database/sqlite/SQLiteDatabase;->execSQL(Ljava/lang/String;)V,0.0019596948738377566
Landroid/content/ContentResolver;->getType(Landroid/net/Uri;)Ljava/lang/String;,0.0019166160825847258
Landroid/os/Parcel;->writeMap(Ljava/util/Map;)V,0.0018334924927096707
Landroid/app/Activity;->setRequestedOrientation(I)V,0.001750239952969535
Landroid/webkit/WebView;->findAddress(Ljava/lang/String;)Ljava/lang/String;,0.001745912120405896
Landroid/view/Display;->getSize(Landroid/graphics/Point;)V,0.001745429808604208
Landroid/location/LocationManager;->removeGpsStatusListener(Landroid/location/GpsStatus$Listener;)V,0.0017250142856166928
Landroid/content/res/TypedArray;->getDrawable(I)Landroid/graphics/drawable/Drawable;,0.0017096956292205606
Landroid/widget/TextView;->setText(I)V,0.0016990293051861076
Landroid/content/res/AssetFileDescriptor;->close()V,0.001696158478488254
Landroid/app/AlertDialog$Builder;->show()Landroid/app/AlertDialog;,0.0016445389195707686
Landroid/os/Environment;->getExternalStorageState()Ljava/lang/String;,0.0016407874007109858
Landroid/view/Display;->getMetrics(Landroid/util/DisplayMetrics;)V,0.0016190299063257383
Landroid/telephony/PhoneStateListener;-><init>()V,0.0016059217362713993
Landroid/text/format/Time;->format(Ljava/lang/String;)Ljava/lang/String;,0.0015735980520533326
Landroid/app/PendingIntent;->send(I)V,0.0015331363275752031
Landroid/media/MediaPlayer;-><init>()V,0.0015197537070252834
