feature,chi2_score
Landroid/view/KeyEvent;->getUnicodeChar(I)I,830.9641192689708
Landroid/view/ActionProvider;->refreshVisibility()V,830.1073860717254
Landroid/graphics/drawable/Drawable;->clearColorFilter()V,820.7430062557441
Landroid/text/SpannableStringBuilder;-><init>(Ljava/lang/CharSequence;)V,818.6855644071891
Landroid/graphics/drawable/Drawable;->getMinimumWidth()I,809.2534337509117
Landroid/content/ContentProvider;-><init>()V,804.716079857159
Landroid/support/v7/widget/ListPopupWindow;->performItemClick(I)Z,804.1509810674584
Landroid/widget/TextView;->setTransformationMethod(Landroid/text/method/TransformationMethod;)V,801.3340136681884
Landroid/app/Fragment;->onDestroy()V,801.0037484683812
Landroid/app/Notification$Builder;-><init>(Landroid/content/Context;)V,798.6769173461023
Landroid/support/v4/media/TransportMediator;->pausePlaying()V,796.7805621229738
Landroid/content/res/Resources;->getText(I)Ljava/lang/CharSequence;,796.6059379379546
Landroid/app/Activity;->onBackPressed()V,795.9774110207217
Landroid/net/ConnectivityManager;->isActiveNetworkMetered()Z,787.7743266632802
Landroid/support/v4/app/ActivityCompat;->finishAffinity(Landroid/app/Activity;)V,785.9166103512023
Landroid/database/sqlite/SQLiteOpenHelper;->getWritableDatabase()Landroid/database/sqlite/SQLiteDatabase;,785.8203147850983
Landroid/view/View$BaseSavedState;-><init>(Landroid/os/Parcel;)V,784.8354916534959
Landroid/support/v4/app/DialogFragment;->getLayoutInflater(Landroid/os/Bundle;)Landroid/view/LayoutInflater;,781.8620087603142
Landroid/widget/EditText;-><init>(Landroid/content/Context;)V,778.0030582884369
Landroid/content/res/Resources;->getDimension(I)F,777.2294129961201
Landroid/media/AudioManager;->getStreamMaxVolume(I)I,776.4418702824979
Landroid/app/Dialog;->requestWindowFeature(I)Z,775.9022995884402
Landroid/app/NotificationManager;->cancelAll()V,775.2229295106359
Landroid/view/ViewConfiguration;->get(Landroid/content/Context;)Landroid/view/ViewConfiguration;,768.8597871773193
Landroid/view/View;->setOnClickListener(Landroid/view/View$OnClickListener;)V,763.2127868567262
Landroid/view/ViewGroup;->removeView(Landroid/view/View;)V,762.7862783701569
Landroid/os/PowerManager$WakeLock;->release()V,760.6830256290007
Landroid/os/CancellationSignal;->cancel()V,759.7654099190243
Landroid/view/View;->setContentDescription(Ljava/lang/CharSequence;)V,757.1363660726662
Landroid/view/View;->setY(F)V,755.3227454432952
Landroid/support/v4/media/session/MediaControllerCompatApi21$TransportControls;->skipToPrevious(Ljava/lang/Object;)V,754.1838341759733
Landroid/widget/ProgressBar;->setIndeterminateDrawable(Landroid/graphics/drawable/Drawable;)V,753.2034403805537
Landroid/view/ViewGroup;->dispatchKeyEvent(Landroid/view/KeyEvent;)Z,752.7370673536473
Landroid/widget/FrameLayout;->setVisibility(I)V,752.5772089233506
Landroid/content/res/Resources;->getColor(I)I,751.7157277160381
Landroid/view/accessibility/CaptioningManager;->getFontScale()F,750.4502117348951
Landroid/view/View;->getWindowVisibleDisplayFrame(Landroid/graphics/Rect;)V,748.6264610538337
Landroid/app/ActivityOptions;->toBundle()Landroid/os/Bundle;,748.2308477165703
Landroid/support/v4/widget/ContentLoadingProgressBar;->onAttachedToWindow()V,747.9163734051315
Landroid/view/Window;->clearFlags(I)V,746.6199056030414
Landroid/view/View;->setPivotX(F)V,744.5371796079412
